
Expenses:Advertisement,2019-01-01,71570
Expenses:Advertisement,2019-03-01,51000
Expenses:Auto,2019-01-01,52800
Expenses:Auto,2019-02-01,380000
Expenses:Auto,2019-03-01,1356750
Expenses:Auto,2019-05-01,95000
Expenses:Auto,2019-06-01,129410
Expenses:Auto,2019-08-01,756290
Expenses:Auto,2019-09-01,47840
Expenses:Children,2019-06-01,324448
Expenses:Compensation,2019-09-01,5790000
Expenses:Equipment,2019-04-01,175000
Expenses:Events,2019-01-01,300000
Expenses:Events,2019-06-01,220310
Expenses:Events,2019-08-01,387800
Expenses:Events,2019-09-01,1569500
Expenses:Food,2019-01-01,363100
Expenses:Food,2019-02-01,255490
Expenses:Food,2019-03-01,488150
Expenses:Food,2019-04-01,357787
Expenses:Food,2019-05-01,205380
Expenses:Food,2019-06-01,353140
Expenses:Food,2019-07-01,200000
Expenses:Food,2019-08-01,436884
Expenses:Food,2019-09-01,261040
Expenses:Management,2019-01-01,996470
Expenses:Management,2019-02-01,995900
Expenses:Management,2019-03-01,906440
Expenses:Management,2019-04-01,1355070
Expenses:Management,2019-05-01,797390
Expenses:Management,2019-06-01,905980
Expenses:Management,2019-07-01,873620
Expenses:Management,2019-08-01,956350
Expenses:Management,2019-09-01,959010
Expenses:Miscellaneous,2019-06-01,21900
Expenses:Mission,2019-01-01,809051
Expenses:Mission,2019-04-01,1193463
Expenses:Mission,2019-06-01,3600000
Expenses:Printing,2019-01-01,598000
Expenses:Printing,2019-05-01,80000
Expenses:Rent,2019-01-01,4640000
Expenses:Rent,2019-02-01,4640000
Expenses:Rent,2019-03-01,4640000
Expenses:Rent,2019-04-01,4640000
Expenses:Rent,2019-05-01,4640000
Expenses:Rent,2019-06-01,4640000
Expenses:Rent,2019-07-01,4640000
Expenses:Rent,2019-08-01,4640000
Expenses:Rent,2019-09-01,4640000
Expenses:Repair,2019-01-01,100000
Expenses:Repair,2019-04-01,300000
Expenses:Repair,2019-07-01,820000
Expenses:Repair,2019-09-01,300000
Expenses:Stationary,2019-03-01,40000
Expenses:Stationary,2019-06-01,11720
Expenses:Stationary,2019-07-01,185296
Expenses:Utility,2019-01-01,23950
Expenses:Utility,2019-02-01,27140
Expenses:Utility,2019-03-01,26360
Expenses:Utility,2019-04-01,26830
Expenses:Utility,2019-05-01,26990
Expenses:Utility,2019-06-01,26360
Expenses:Utility,2019-07-01,26450
Expenses:Utility,2019-08-01,26420
Expenses:Utility,2019-09-01,26350
